account_id,district_name,open_date,statement_frequency,num_customers,credit_cards,loan,loan_amount,loan_payments,loan_terms,loan_status,loan_default,max_withdrawal,min_withdrawal_x,min_withdrawal_y,cc_payment,cc_payment
45,Zlin,1997-09-02,monthly,1,0,,,,,,,15000,15,15,4794.0,5.0
47,Jicin,1993-08-08,monthly,1,0,,,,,,,63300,9,9,2932.0,5.0
48,Tabor,1996-11-17,monthly,2,1,,,,,,,25120,15,15,5072.0,5.0
49,Hl.m. Praha,1997-04-06,monthly,1,0,,,,,,,3520,15,15,5215.0,5.0
50,Hl.m. Praha,1994-05-06,monthly,1,0,,,,,,,23600,15,15,5445.0,5.0
51,Bruntal,1996-05-11,monthly,1,1,,,,,,,26300,15,15,5591.0,5.0
52,Jindrichuv Hradec,1997-01-29,monthly,1,0,,,,,,,42300,15,15,5724.0,5.0
53,Vsetin,1995-06-07,monthly,1,0,,,,,,,3900,15,15,5952.0,5.0
54,Kladno,1995-05-02,monthly,1,0,,,,,,,8070,15,15,7082.0,5.0
55,Strakonice,1996-02-19,monthly,1,0,,,,,,,4300,15,15,1318.0,5.0
56,Svitavy,1994-05-16,monthly,1,0,,,,,,,29600,15,15,97.0,5.0
57,Hl.m. Praha,1995-05-21,monthly,1,0,,,,,,,25300,15,15,1766.0,5.0
58,Rokycany,1996-08-23,monthly,1,0,,,,,,,14250,6,6,368.0,5.0
59,Hradec Kralove,1994-03-27,monthly,1,0,,,,,,,22880,15,15,365.0,5.0
61,Karvina,1993-12-11,monthly,2,0,,,,,,,5850,15,15,2035.0,5.0
62,Pardubice,1993-03-28,monthly,1,0,,,,,,,7600,15,15,1326.0,4.0
63,Domazlice,1996-11-16,monthly,2,0,,,,,,,11650,15,15,2484.0,4.0
64,Zlin,1997-03-11,monthly,1,0,,,,,,,32200,200,200,3743.0,4.0
65,Liberec,1996-10-29,monthly,1,1,,,,,,,26800,15,15,666.0,4.0
67,Jindrichuv Hradec,1994-10-19,monthly,1,0,4973.0,165960.0,6915.0,24.0,"('expired',)","('F',)",61500,15,15,3614.0,4.0
69,Zlin,1996-01-12,monthly,1,0,,,,,,,22800,15,15,3799.0,4.0
70,Mlada Boleslav,1995-02-18,monthly,2,0,,,,,,,20320,15,15,3612.0,4.0
71,Hl.m. Praha,1994-03-05,monthly,2,1,,,,,,,39520,15,15,141.0,4.0
73,Olomouc,1993-11-08,monthly,1,1,,,,,,,44160,15,15,3882.0,4.0
75,Hl.m. Praha,1995-08-13,monthly,1,0,,,,,,,20300,15,15,635.0,4.0
76,Usti nad Orlici,1996-05-16,monthly,1,0,,,,,,,22400,15,15,3916.0,4.0
77,Vyskov,1996-11-19,monthly,1,0,,,,,,,36200,15,15,622.0,4.0
78,Ostrava - mesto,1993-07-07,monthly,1,0,,,,,,,21100,15,15,2523.0,4.0
79,Beroun,1996-11-29,monthly,1,0,,,,,,,3680,15,15,3757.0,4.0
80,Hradec Kralove,1995-09-27,monthly,2,0,,,,,,,5250,15,15,1726.0,4.0
81,Ostrava - mesto,1996-07-18,monthly,1,0,,,,,,,3800,15,15,3747.0,4.0
82,Plzen - mesto,1994-05-03,monthly,1,0,,,,,,,61100,15,15,578.0,4.0
83,Plzen - mesto,1993-04-16,monthly,2,0,,,,,,,14080,15,15,3714.0,4.0
85,Frydek - Mistek,1997-03-23,monthly,1,0,,,,,,,7200,15,15,3659.0,4.0
86,Brno - mesto,1993-03-07,monthly,2,0,,,,,,,8880,15,15,1801.0,4.0
88,Tachov,1996-07-03,monthly,1,0,,,,,,,2550,15,15,2544.0,4.0
89,Frydek - Mistek,1997-09-25,monthly,1,0,,,,,,,10200,15,15,2545.0,4.0
90,Hl.m. Praha,1994-07-13,monthly,1,0,,,,,,,25120,15,15,2475.0,4.0
91,Pelhrimov,1996-11-06,monthly,1,0,,,,,,,34700,1,1,3424.0,4.0
93,Benesov,1996-06-12,monthly,1,0,,,,,,,24400,15,15,4088.0,4.0
95,Hl.m. Praha,1995-03-30,monthly,2,1,,,,,,,32000,15,15,5422.0,4.0
96,Frydek - Mistek,1993-02-18,monthly,2,1,,,,,,,67500,15,15,5313.0,4.0
97,Ostrava - mesto,1996-05-05,monthly,2,1,4986.0,102876.0,8573.0,12.0,"('expired',)","('F',)",18600,3,3,5290.0,4.0
98,Brno - venkov,1997-05-02,monthly,2,0,,,,,,,7700,15,15,1625.0,4.0
99,Hl.m. Praha,1995-06-27,monthly,1,0,,,,,,,64900,15,15,2911.0,4.0
100,Usti nad Labem,1993-12-28,monthly,1,0,,,,,,,35040,15,15,5133.0,4.0
101,Jablonec n. Nisou,1996-04-16,monthly,1,0,,,,,,,46240,15,15,1949.0,4.0
102,Praha - zapad,1993-10-16,monthly,1,0,,,,,,,29600,0,0,1943.0,4.0
103,Chrudim,1996-03-10,monthly,1,0,4988.0,265320.0,7370.0,36.0,current,T,62700,4,4,2938.0,4.0
104,Litomerice,1993-04-15,monthly,2,0,,,,,,,8700,15,15,1934.0,4.0
105,Tabor,1997-07-10,monthly,1,1,4989.0,352704.0,7348.0,48.0,current,"('F',)",29900,15,15,5033.0,4.0
106,Vyskov,1994-11-27,monthly,1,1,,,,,,,18800,15,15,4660.0,4.0
107,Zlin,1993-11-05,monthly,1,0,,,,,,,5760,15,15,4550.0,4.0
108,Blansko,1995-03-10,monthly,1,1,,,,,,,34720,15,15,4476.0,4.0
109,Blansko,1997-04-20,monthly,1,1,,,,,,,9100,15,15,3090.0,4.0
110,Liberec,1996-07-17,monthly,1,1,4990.0,162576.0,4516.0,36.0,current,"('F',)",44480,15,15,4190.0,4.0
112,Kutna Hora,1993-03-12,monthly,2,0,,,,,,,38500,15,15,4127.0,4.0
113,Brno - venkov,1996-07-22,monthly,1,0,,,,,,,6800,15,15,4099.0,4.0
114,Prostejov,1997-03-14,monthly,1,0,,,,,,,6000,15,15,4079.0,4.0
115,Frydek - Mistek,1993-03-19,monthly,1,1,,,,,,,11100,15,15,3227.0,4.0
116,Mlada Boleslav,1996-03-21,monthly,2,0,,,,,,,31400,15,15,3240.0,4.0
117,Tachov,1993-09-05,monthly,1,0,,,,,,,11200,15,15,767.0,4.0
118,Frydek - Mistek,1997-09-18,monthly,1,0,,,,,,,5000,15,15,3311.0,4.0
119,Plzen - jih,1993-05-25,monthly,1,0,,,,,,,21200,15,15,3971.0,4.0
121,Brno - venkov,1997-10-11,monthly,1,0,,,,,,,5600,15,15,3948.0,4.0
122,Tachov,1996-10-30,monthly,1,1,,,,,,,29400,15,15,2471.0,4.0
123,Tabor,1993-03-13,monthly,2,0,,,,,,,4500,15,15,506.0,4.0
124,Brno - venkov,1997-12-28,monthly,1,0,,,,,,,4900,15,15,484.0,4.0
126,Kolin,1993-10-23,monthly,1,0,,,,,,,48900,15,15,2550.0,4.0
127,Rokycany,1994-02-02,monthly,1,0,,,,,,,6400,15,15,196.0,4.0
128,Benesov,1993-02-19,monthly,1,1,,,,,,,21900,15,15,3017.0,4.0
129,Ostrava - mesto,1997-10-01,monthly,2,0,,,,,,,7200,15,15,3007.0,4.0
130,Brno - mesto,1997-02-12,monthly,1,0,,,,,,,7350,15,15,190.0,4.0
131,Usti nad Orlici,1995-06-13,monthly,1,0,,,,,,,33000,15,15,2996.0,4.0
134,Chomutov,1997-12-10,monthly,1,1,,,,,,,12700,15,15,179.0,4.0
135,Prerov,1993-06-15,monthly,1,0,,,,,,,24700,15,15,2926.0,4.0
136,Ostrava - mesto,1996-05-14,monthly,1,0,,,,,,,8100,15,15,2916.0,4.0
137,Karvina,1996-07-19,monthly,1,0,,,,,,,36000,15,15,176.0,4.0
138,Domazlice,1995-09-19,monthly,2,0,,,,,,,4700,200,200,2873.0,4.0
140,Karlovy Vary,1996-06-25,monthly,1,0,,,,,,,24600,15,15,1794.0,4.0
141,Louny,1996-03-06,monthly,2,0,,,,,,,45100,15,15,9883.0,4.0
142,Trutnov,1993-02-15,monthly,2,0,,,,,,,6200,15,15,2839.0,4.0
143,Tabor,1996-11-27,monthly,1,0,,,,,,,4500,15,15,2834.0,4.0
145,Tachov,1996-01-03,monthly,1,0,,,,,,,28900,15,15,2813.0,4.0
146,Kladno,1993-09-02,monthly,1,0,,,,,,,11050,15,15,2810.0,4.0
148,Mlada Boleslav,1993-06-21,monthly,1,0,,,,,,,3400,15,15,2745.0,4.0
149,Hradec Kralove,1997-11-16,monthly,1,0,,,,,,,21200,15,15,37.0,4.0
150,Opava,1995-03-16,monthly,1,0,,,,,,,27400,15,15,38.0,4.0
151,Sumperk,1993-09-06,monthly,2,0,,,,,,,7100,15,15,47.0,4.0
152,Hl.m. Praha,1996-04-12,monthly,2,0,,,,,,,6300,15,15,68.0,4.0
153,Vsetin,1993-09-19,monthly,1,0,,,,,,,17200,15,15,71.0,4.0
154,Nachod,1994-06-21,monthly,1,0,,,,,,,18900,15,15,2779.0,4.0
155,Jihlava,1995-11-07,monthly,1,0,,,,,,,14560,15,15,90.0,4.0
156,Zlin,1997-10-22,monthly,1,0,,,,,,,8430,15,15,3050.0,4.0
157,Praha - zapad,1997-03-28,monthly,1,0,,,,,,,6300,15,15,208.0,4.0
158,Litomerice,1995-03-15,monthly,2,0,,,,,,,33200,15,15,2725.0,4.0
159,Karvina,1997-02-11,monthly,1,1,,,,,,,25600,15,15,3312.0,4.0
160,Cheb,1993-09-04,monthly,1,0,,,,,,,57100,15,15,473.0,4.0
161,Plzen - sever,1994-07-04,monthly,1,0,,,,,,,14450,15,15,471.0,4.0
162,Prostejov,1993-08-25,monthly,2,0,,,,,,,13900,15,15,4150.0,4.0
163,Sokolov,1993-01-27,monthly,1,0,,,,,,,9050,15,15,3537.0,4.0
164,Prostejov,1996-09-13,monthly,1,0,,,,,,,21700,100,100,396.0,4.0
165,Klatovy,1993-06-01,monthly,2,0,,,,,,,14650,15,15,3440.0,4.0
166,Pelhrimov,1996-08-20,monthly,1,0,,,,,,,4300,15,15,2649.0,4.0
168,Tachov,1993-04-27,monthly,2,0,,,,,,,8100,15,15,379.0,4.0
169,Kladno,1995-09-28,monthly,1,0,,,,,,,14600,15,15,3399.0,4.0
170,Kromeriz,1996-07-02,monthly,1,0,,,,,,,22100,15,15,1888.0,4.0
171,Nachod,1996-06-08,monthly,1,0,,,,,,,6700,15,15,3354.0,4.0
172,Rakovnik,1993-08-30,monthly,2,1,,,,,,,46720,15,15,3353.0,4.0
173,Zdar nad Sazavou,1993-11-26,monthly,2,0,5002.0,104808.0,8734.0,12.0,"('expired',)","('F',)",18560,15,15,366.0,4.0
174,Usti nad Orlici,1996-09-04,monthly,1,0,,,,,,,3400,15,15,2721.0,4.0
177,Hl.m. Praha,1997-09-26,monthly,1,0,,,,,,,25300,15,15,3272.0,4.0
178,Kromeriz,1997-09-06,monthly,1,0,,,,,,,2100,15,15,2677.0,4.0
181,Tabor,1996-06-11,monthly,1,1,,,,,,,10400,15,15,294.0,4.0
182,Pardubice,1996-08-24,monthly,1,0,,,,,,,5600,1900,1900,3147.0,4.0
183,Hradec Kralove,1993-12-12,monthly,1,0,,,,,,,21440,15,15,2700.0,4.0
184,Vsetin,1996-02-21,monthly,1,0,,,,,,,24000,15,15,5423.0,4.0
185,Ceska Lipa,1997-07-04,monthly,1,1,,,,,,,18900,15,15,3113.0,4.0
187,Kolin,1993-03-28,monthly,1,0,,,,,,,4200,15,15,3094.0,4.0
188,Brno - mesto,1993-04-20,monthly,1,0,,,,,,,26080,15,15,1590.0,4.0
189,Sumperk,1997-04-16,monthly,1,0,,,,,,,28320,15,15,4907.0,4.0
190,Ostrava - mesto,1995-03-02,monthly,1,0,,,,,,,23500,15,15,1975.0,4.0
191,Usti nad Labem,1997-03-17,monthly,1,1,,,,,,,48000,15,15,1402.0,4.0
192,Brno - venkov,1993-01-08,monthly,1,0,,,,,,,13450,15,15,1568.0,4.0
193,Jesenik,1996-12-22,monthly,2,0,,,,,,,11500,15,15,1641.0,4.0
194,Chrudim,1996-08-01,monthly,1,0,,,,,,,5550,15,15,1378.0,4.0
195,Karvina,1997-02-27,monthly,2,1,,,,,,,13100,15,15,2346.0,4.0
196,Kladno,1993-11-14,monthly,1,1,,,,,,,29700,15,15,2352.0,4.0
197,Hl.m. Praha,1993-02-25,monthly,1,0,,,,,,,43040,15,15,873.0,4.0
198,Karvina,1993-10-25,monthly,1,0,,,,,,,12450,15,15,1399.0,4.0
199,Karvina,1996-10-26,monthly,1,0,,,,,,,2970,15,15,866.0,4.0
200,Pelhrimov,1994-07-03,monthly,1,1,,,,,,,47200,15,15,859.0,4.0
201,Vyskov,1994-11-02,monthly,1,0,,,,,,,15200,15,15,856.0,4.0
204,Bruntal,1996-01-13,monthly,1,0,,,,,,,1950,15,15,485.0,4.0
205,Hl.m. Praha,1997-10-08,monthly,1,0,,,,,,,6300,15,15,1367.0,4.0
206,Trebic,1995-04-08,monthly,2,0,,,,,,,8480,15,15,1897.0,4.0
207,Benesov,1993-07-25,monthly,1,0,,,,,,,8100,10,10,1904.0,4.0
208,Brno - mesto,1996-03-27,monthly,1,0,,,,,,,17800,15,15,784.0,4.0
209,Litomerice,1996-11-24,monthly,1,0,,,,,,,4600,15,15,2050.0,4.0
210,Rychnov nad Kneznou,1996-03-17,monthly,1,0,,,,,,,25120,15,15,11271.0,4.0
211,Plzen - sever,1997-07-19,monthly,1,1,,,,,,,59600,15,15,2052.0,4.0
213,Opava,1995-08-29,monthly,1,1,,,,,,,26400,15,15,2032.0,4.0
214,Domazlice,1997-03-09,monthly,2,0,,,,,,,2130,15,15,10451.0,4.0
215,Tachov,1997-11-25,monthly,2,0,,,,,,,4590,15,15,1437.0,4.0
216,Louny,1994-05-16,monthly,1,0,,,,,,,8600,15,15,2192.0,4.0
217,Vsetin,1995-01-20,monthly,1,0,,,,,,,19700,15,15,2023.0,4.0
218,Frydek - Mistek,1996-02-06,monthly,1,0,,,,,,,59800,0,0,1560.0,4.0
219,Plzen - sever,1995-09-06,monthly,1,1,,,,,,,20800,15,15,931.0,4.0
220,Olomouc,1993-04-09,monthly,1,0,,,,,,,7850,15,15,405.0,4.0
221,Prachatice,1996-10-30,monthly,1,0,,,,,,,25400,15,15,2179.0,4.0
222,Litomerice,1993-03-15,monthly,1,1,,,,,,,50800,15,15,1320.0,4.0
223,Most,1995-06-13,monthly,1,1,,,,,,,25800,15,15,2069.0,4.0
224,Cesky Krumlov,1996-10-27,monthly,1,0,,,,,,,9350,15,15,2058.0,4.0
225,Hl.m. Praha,1993-07-28,monthly,2,0,,,,,,,27520,2,2,1267.0,4.0
226,Karvina,1997-02-23,monthly,1,1,5015.0,109344.0,9112.0,12.0,current,"('F',)",23400,15,15,1259.0,4.0
227,Plzen - jih,1995-03-28,monthly,1,1,,,,,,,52000,15,15,1031.0,4.0
228,Kolin,1993-09-28,monthly,1,0,,,,,,,53500,15,15,2153.0,4.0
229,Hl.m. Praha,1997-06-07,monthly,1,0,,,,,,,3760,15,15,2057.0,4.0
230,Hl.m. Praha,1996-02-26,monthly,2,0,,,,,,,20300,15,15,1352.0,4.0
231,Domazlice,1995-04-03,monthly,2,0,,,,,,,2700,15,15,1227.0,4.0
232,Jicin,1997-11-29,monthly,1,1,,,,,,,46720,15,15,1363.0,4.0
234,Opava,1993-07-15,monthly,2,0,,,,,,,11000,15,15,1168.0,4.0
235,Usti nad Labem,1993-10-06,monthly,1,0,,,,,,,5070,15,15,2318.0,4.0
236,Olomouc,1996-03-16,monthly,2,0,,,,,,,3700,300,300,1125.0,4.0
237,Svitavy,1994-03-25,monthly,1,0,,,,,,,6200,15,15,1097.0,4.0
238,Kutna Hora,1993-08-15,monthly,1,0,,,,,,,2850,15,15,1095.0,4.0
240,Olomouc,1997-04-28,monthly,2,0,,,,,,,23600,15,15,1083.0,4.0
241,Cesky Krumlov,1996-09-29,monthly,1,0,,,,,,,5040,15,15,1068.0,4.0
242,Jesenik,1996-08-29,monthly,1,0,,,,,,,47520,15,15,572.0,4.0
244,Karlovy Vary,1993-02-08,monthly,1,1,,,,,,,8370,15,15,1006.0,4.0
245,Znojmo,1993-11-25,monthly,1,0,,,,,,,62800,0,0,997.0,4.0
246,Znojmo,1997-12-20,monthly,2,0,,,,,,,7500,15,15,992.0,4.0
248,Hl.m. Praha,1995-04-02,monthly,1,0,,,,,,,29700,15,15,1445.0,4.0
249,Plzen - sever,1996-12-03,monthly,1,0,,,,,,,20800,15,15,2394.0,4.0
250,Breclav,1997-05-10,monthly,1,0,,,,,,,5800,15,15,1994.0,4.0
251,Ostrava - mesto,1996-04-06,monthly,1,0,,,,,,,13600,15,15,8039.0,4.0
252,Prachatice,1996-12-26,monthly,1,0,,,,,,,6600,15,15,9034.0,4.0
253,Nachod,1995-12-05,monthly,1,1,,,,,,,47680,2,2,7099.0,4.0
255,Frydek - Mistek,1996-11-03,monthly,1,0,,,,,,,40800,15,15,2607.0,4.0
256,Litomerice,1995-05-14,monthly,1,1,,,,,,,34200,15,15,2431.0,4.0
257,Praha - zapad,1995-11-05,monthly,1,0,,,,,,,64500,15,15,2773.0,4.0
258,Zlin,1997-07-09,monthly,1,0,,,,,,,5600,15,15,9031.0,4.0
259,Benesov,1993-10-28,monthly,1,0,,,,,,,14650,15,15,2646.0,4.0
260,Karlovy Vary,1995-10-14,monthly,2,0,,,,,,,19200,15,15,8742.0,4.0
261,Brno - mesto,1996-10-07,monthly,1,0,,,,,,,8500,15,15,8405.0,4.0
262,Prerov,1996-01-27,monthly,1,0,,,,,,,3300,200,200,1513.0,4.0
264,Cesky Krumlov,1996-02-09,monthly,1,0,,,,,,,19520,15,15,7857.0,4.0
265,Prachatice,1996-07-05,monthly,2,0,,,,,,,8300,15,15,2000.0,4.0
266,Pardubice,1994-05-11,monthly,1,1,,,,,,,55800,15,15,7815.0,4.0
267,Louny,1995-04-26,monthly,2,0,,,,,,,3840,15,15,2546.0,4.0
268,Beroun,1996-05-29,monthly,1,0,,,,,,,42200,15,15,10093.0,4.0
269,Beroun,1996-08-30,monthly,1,0,,,,,,,8670,15,15,273.0,4.0
270,Plzen - jih,1995-01-23,monthly,2,1,,,,,,,36960,15,15,7546.0,4.0
271,Hl.m. Praha,1996-08-13,monthly,1,0,,,,,,,12500,15,15,7136.0,4.0
272,Praha - zapad,1996-10-23,monthly,1,0,,,,,,,34700,15,15,7437.0,4.0
274,Sumperk,1993-08-20,monthly,1,0,,,,,,,26240,15,15,9140.0,4.0
275,Rokycany,1996-01-02,monthly,1,0,,,,,,,2400,15,15,7424.0,4.0
276,Louny,1997-12-08,monthly,1,1,5027.0,160920.0,4470.0,36.0,current,"('F',)",24800,15,15,6856.0,4.0
278,Opava,1996-04-08,monthly,1,1,,,,,,,23600,15,15,9790.0,4.0
279,Most,1993-04-14,monthly,2,0,,,,,,,3300,15,15,6792.0,4.0
280,Klatovy,1993-01-23,monthly,1,0,,,,,,,17440,15,15,9859.0,4.0
281,Hl.m. Praha,1996-10-27,monthly,2,1,,,,,,,36320,15,15,9897.0,4.0
282,Jesenik,1997-05-12,monthly,2,0,,,,,,,23400,15,15,9491.0,4.0
283,Chrudim,1996-04-18,monthly,1,0,,,,,,,6950,15,15,6400.0,4.0
284,Brno - mesto,1997-07-18,monthly,1,0,,,,,,,25100,15,15,6040.0,4.0
285,Pelhrimov,1995-05-08,monthly,2,0,,,,,,,45120,15,15,6453.0,4.0
286,Novy Jicin,1996-03-27,monthly,2,1,,,,,,,25900,15,15,6688.0,4.0
287,Jindrichuv Hradec,1993-10-27,monthly,1,0,,,,,,,6300,15,15,9188.0,4.0
288,Klatovy,1995-03-18,monthly,1,0,,,,,,,4600,15,15,9167.0,4.0
289,Hl.m. Praha,1994-03-17,monthly,1,0,,,,,,,17400,15,15,6706.0,4.0
290,Breclav,1993-12-02,monthly,1,0,5032.0,123696.0,2577.0,48.0,"('expired',)","('F',)",60000,15,15,1991.0,3.0
291,Melnik,1997-06-08,monthly,1,0,,,,,,,63200,15,15,1951.0,3.0
292,Semily,1997-02-26,monthly,2,0,,,,,,,16300,15,15,2234.0,3.0
293,Hl.m. Praha,1997-05-04,monthly,2,0,,,,,,,12700,15,15,2237.0,3.0
294,Melnik,1997-01-05,monthly,1,1,,,,,,,18400,15,15,2734.0,3.0
295,Zdar nad Sazavou,1997-11-23,monthly,1,0,,,,,,,27680,15,15,2075.0,3.0
296,Semily,1996-02-14,monthly,1,0,,,,,,,7700,15,15,1909.0,3.0
297,Ostrava - mesto,1996-09-08,monthly,1,0,,,,,,,22100,15,15,2770.0,3.0
298,Jablonec n. Nisou,1997-12-02,monthly,2,0,,,,,,,39680,15,15,2201.0,3.0
299,Vsetin,1993-04-05,monthly,1,0,,,,,,,64100,15,15,1863.0,3.0
300,Hl.m. Praha,1993-06-23,monthly,2,1,,,,,,,9000,15,15,2082.0,3.0
301,Prostejov,1995-09-10,monthly,2,0,,,,,,,2850,15,15,1931.0,3.0
302,Melnik,1996-05-09,monthly,1,0,,,,,,,6800,15,15,2767.0,3.0
303,Novy Jicin,1996-07-25,monthly,1,1,5034.0,112752.0,3132.0,36.0,current,"('F',)",35360,15,15,2068.0,3.0
304,Kladno,1997-03-20,monthly,1,0,,,,,,,34700,15,15,2190.0,3.0
305,Chomutov,1996-10-18,monthly,1,0,,,,,,,3600,15,15,2743.0,3.0
306,Jindrichuv Hradec,1993-06-08,monthly,1,0,,,,,,,7200,15,15,2085.0,3.0
307,Plzen - mesto,1997-08-07,monthly,1,1,,,,,,,26700,15,15,2101.0,3.0
308,Trebic,1995-10-16,monthly,1,0,,,,,,,4500,500,500,2139.0,3.0
309,Ceske Budejovice,1997-04-25,monthly,1,0,5036.0,91248.0,1901.0,48.0,current,"('F',)",25400,15,15,2189.0,3.0
311,Svitavy,1997-08-08,monthly,2,1,,,,,,,28320,15,15,2166.0,3.0
312,Usti nad Labem,1996-01-03,monthly,1,0,,,,,,,14600,15,15,2170.0,3.0
313,Opava,1996-07-06,monthly,2,0,,,,,,,2294,15,15,2509.0,3.0
315,Jicin,1997-12-08,monthly,1,0,,,,,,,7300,300,300,2241.0,3.0
316,Uherske Hradiste,1997-05-08,monthly,1,0,,,,,,,23100,15,15,2016.0,3.0
317,Sumperk,1993-03-10,monthly,1,0,,,,,,,13350,15,15,2379.0,3.0
318,Liberec,1994-09-16,monthly,1,0,,,,,,,25200,15,15,2383.0,3.0
320,Pardubice,1997-01-23,monthly,1,0,,,,,,,14300,15,15,2421.0,3.0
321,Pardubice,1993-11-11,monthly,1,0,,,,,,,9200,15,15,2427.0,3.0
322,Hl.m. Praha,1993-02-20,monthly,2,0,,,,,,,19600,15,15,2542.0,3.0
323,Usti nad Orlici,1997-02-23,monthly,2,0,,,,,,,9100,15,15,2541.0,3.0
324,Hl.m. Praha,1996-08-23,monthly,1,0,,,,,,,6200,15,15,2479.0,3.0
325,Prerov,1996-10-06,monthly,1,0,,,,,,,12600,15,15,2535.0,3.0
326,Trebic,1997-08-06,monthly,1,0,,,,,,,6700,15,15,2530.0,3.0
327,Brno - mesto,1993-06-02,monthly,1,0,,,,,,,29400,15,15,1891.0,3.0
328,Hl.m. Praha,1997-09-18,monthly,2,0,,,,,,,9300,15,15,2494.0,3.0
329,Beroun,1996-10-19,monthly,1,1,,,,,,,30240,15,15,2499.0,3.0
330,Havlickuv Brod,1996-11-24,monthly,2,0,5042.0,331584.0,6908.0,48.0,current,"('F',)",27040,15,15,2019.0,3.0
331,Znojmo,1995-10-02,monthly,1,0,,,,,,,7700,15,15,2501.0,3.0
332,Liberec,1996-01-12,monthly,1,0,,,,,,,8190,15,15,2510.0,3.0
333,Opava,1996-12-23,monthly,1,0,,,,,,,2310,15,15,2568.0,3.0
334,Hl.m. Praha,1993-05-24,monthly,1,0,,,,,,,31360,15,15,2590.0,3.0
