,id,name,region,population,num_cities,urban_ratio,avg_salary,entrepreneur_1000,unemployment_rate_95,unemployment_rate_96,Population < 500,Population 500-1999,Population 2000-9999,Population >= 10000,commited_crimes_95,commited_crimes_96
20,21,Tabor,south Bohemia,103347,7,67.0,9104,123,1.5,2.07,87,16,7,1,2299,2354
21,22,Domazlice,west Bohemia,58400,6,52.4,8620,100,1.1,1.25,65,16,4,1,1089,1117
22,23,Cheb,west Bohemia,87419,9,85.5,8624,102,1.7,2.66,21,11,4,3,2879,3198
23,24,Karlovy Vary,west Bohemia,122603,8,80.0,8991,128,1.3,2.01,25,21,6,2,5198,5273
24,25,Klatovy,west Bohemia,88757,10,61.7,8554,113,2.4,2.68,60,33,3,2,1822,2218
25,26,Plzen - mesto,west Bohemia,170449,1,100.0,10787,131,2.6,3.09,0,0,0,1,6041,6261
26,27,Plzen - jih,west Bohemia,67298,7,43.8,8561,110,0.6,1.29,71,19,10,0,1029,1127
27,28,Plzen - sever,west Bohemia,72541,8,36.9,8594,112,1.6,2.01,66,26,10,0,1580,1525
28,29,Rokycany,west Bohemia,45714,6,55.6,8843,113,2.8,3.6,52,10,5,1,818,888
29,30,Sokolov,west Bohemia,94812,10,81.8,9650,100,3.3,3.67,15,13,8,2,2985,2804
30,31,Tachov,west Bohemia,51313,4,59.2,8930,108,3.5,4.2,34,12,3,1,1328,1452
31,32,Ceska Lipa,north Bohemia,105058,10,81.0,9272,118,2.8,3.22,32,19,7,2,4340,4505
32,33,Decin,north Bohemia,133777,11,84.7,8705,116,5.7,7.61,24,17,7,3,4650,4859
33,34,Chomutov,north Bohemia,125236,5,87.7,9675,100,6.4,7.68,28,11,1,4,5323,5190
34,35,Jablonec n. Nisou,north Bohemia,88768,7,80.5,8867,130,1,1.21,10,18,5,1,3384,3620
35,36,Liberec,north Bohemia,159617,9,85.2,9198,131,3.3,4.28,29,19,8,1,5796,6132
36,37,Litomerice,north Bohemia,114006,9,62.3,9065,123,4.4,5.39,71,26,6,2,4147,4166
37,38,Louny,north Bohemia,85852,4,59.8,8965,104,7,8.23,41,23,4,2,2653,2822
38,39,Most,north Bohemia,119895,4,89.9,10446,90,7.3,9.4,17,4,3,2,4947,4743
39,40,Teplice,north Bohemia,128118,8,85.3,9317,97,6.4,7.07,9,16,6,3,6949,6872
40,41,Usti nad Labem,north Bohemia,118650,3,85.6,9832,114,3.3,4.48,8,8,5,1,6445,5471
41,42,Havlickuv Brod,east Bohemia,95907,7,59.1,8388,87,2.4,2.94,87,25,5,2,1658,1668
42,43,Hradec Kralove,east Bohemia,161854,6,76.3,9425,125,1.7,2.5,73,21,6,1,4085,3891
43,44,Chrudim,east Bohemia,105606,7,53.0,8254,97,2.7,3.76,77,26,7,2,2166,2325
44,45,Jicin,east Bohemia,77917,5,53.5,8390,132,2.2,2.89,85,19,6,1,2080,2122
45,46,Nachod,east Bohemia,112709,10,73.5,8369,117,1.7,2.31,48,20,7,3,2854,2618
46,47,Pardubice,east Bohemia,162580,6,72.8,9538,111,1.5,1.81,83,26,5,1,6079,5410
47,48,Rychnov nad Kneznou,east Bohemia,78955,9,59.0,9060,124,1.7,2.44,50,24,8,1,1655,1717
48,49,Semily,east Bohemia,75685,9,60.8,8208,155,1.8,2.26,31,28,5,1,1660,2123
49,50,Svitavy,east Bohemia,102609,6,52.0,8187,94,4.8,5.45,75,33,2,3,2123,2134
50,51,Trutnov,east Bohemia,121947,11,70.5,8541,131,2.5,2.97,37,28,7,3,3496,3839
51,52,Usti nad Orlici,east Bohemia,139012,10,61.9,8363,108,2.5,3.49,59,41,8,3,2564,2799
52,53,Blansko,south Moravia,107911,7,50.9,8240,99,2.5,3.56,88,33,6,2,1850,1903
53,54,Brno - mesto,south Moravia,387570,1,100.0,9897,140,1.6,1.96,0,0,0,1,18721,18696
54,55,Brno - venkov,south Moravia,157042,9,33.9,8743,111,1.8,2.43,49,70,18,0,3659,3894
55,56,Breclav,south Moravia,124605,8,46.0,8772,126,4.6,4.98,11,42,14,1,2854,3158
56,57,Hodonin,south Moravia,161954,8,48.0,8720,116,3.7,4.5,21,37,20,3,3729,3651
57,58,Jihlava,south Moravia,109164,4,63.6,8757,96,3.3,3.95,98,16,6,1,2212,2471
58,59,Kromeriz,south Moravia,108871,6,62.1,8444,106,3.2,3.47,41,29,7,2,2595,2305
59,60,Prostejov,south Moravia,110643,4,51.9,8441,115,3.4,4.48,49,41,4,1,1879,2252
60,61,Trebic,south Moravia,117897,6,53.8,8814,107,4.7,5.74,139,28,5,1,2112,2059
61,62,Uherske Hradiste,south Moravia,145688,5,40.7,8544,109,1.2,1.86,22,41,13,2,2719,2906
62,63,Vyskov,south Moravia,86513,5,50.5,8288,110,3.7,4.52,38,36,5,1,1562,1460
63,64,Zlin,south Moravia,197099,10,74.7,9624,145,1.6,2.31,29,41,10,2,4484,4265
64,65,Znojmo,south Moravia,114200,4,43.7,8403,105,5.7,5.72,101,41,4,1,2157,2718
65,66,Zdar nad Sazavou,south Moravia,125832,5,48.3,8512,102,3.5,4.12,151,41,2,3,2247,2103
66,67,Bruntal,north Moravia,106054,6,63.1,8110,109,5.7,6.55,38,25,6,2,3244,3079
67,68,Frydek - Mistek,north Moravia,228848,6,57.2,9893,96,4,4.72,15,40,18,2,5623,5887
68,69,Jesenik,north Moravia,42821,3,48.4,8173,124,NA,7.01,4,13,5,1,NA,1358
69,70,Karvina,north Moravia,285387,7,89.9,10177,81,6.6,7.75,0,2,8,5,9878,10108
70,71,Novy Jicin,north Moravia,161227,10,69.7,8678,102,5.9,5.57,5,35,11,4,4980,4595
71,72,Olomouc,north Moravia,226122,4,62.6,8994,110,3.8,4.79,32,50,7,4,9672,9208
72,73,Opava,north Moravia,182027,7,56.4,8746,90,3.3,3.74,17,49,12,2,4355,4433
73,74,Ostrava - mesto,north Moravia,323870,1,100.0,10673,100,4.7,5.44,0,0,0,1,18782,18347
74,75,Prerov,north Moravia,138032,5,64.6,8819,99,5.3,5.66,67,30,4,2,4063,4505
75,76,Sumperk,north Moravia,127369,7,51.2,8369,107,4.7,5.88,31,32,13,2,3736,2807
76,77,Vsetin,north Moravia,148545,4,53.5,8909,113,4,5.56,8,35,12,3,3460,3590
